country,pop,continent,lifeExp,gdpPercap
Afghanistan,31889923.0,Asia,43.828,974.5803384
Albania,3600523.0,Europe,76.423,5937.029525999999
Algeria,33333216.0,Africa,72.301,6223.367465
Angola,12420476.0,Africa,42.731,4797.231267
Argentina,40301927.0,Americas,75.32,12779.379640000001
Australia,20434176.0,Oceania,81.235,34435.367439999995
Austria,8199783.0,Europe,79.829,36126.4927
Bahrain,708573.0,Asia,75.635,29796.048339999998
Bangladesh,150448339.0,Asia,64.062,1391.253792
Belgium,10392226.0,Europe,79.441,33692.60508
Benin,8078314.0,Africa,56.728,1441.284873
Bolivia,9119152.0,Americas,65.554,3822.1370840000004
Bosnia and Herzegovina,4552198.0,Europe,74.852,7446.298803
Botswana,1639131.0,Africa,50.728,12569.851770000001
Brazil,190010647.0,Americas,72.39,9065.800825
Bulgaria,7322858.0,Europe,73.005,10680.79282
Burkina Faso,14326203.0,Africa,52.295,1217.032994
Burundi,8390505.0,Africa,49.58,430.07069160000003
Cambodia,14131858.0,Asia,59.723,1713.7786859999999
Cameroon,17696293.0,Africa,50.43,2042.0952399999999
Canada,33390141.0,Americas,80.653,36319.235010000004
Central African Republic,4369038.0,Africa,44.74100000000001,706.016537
Chad,10238807.0,Africa,50.651,1704.0637239999999
Chile,16284741.0,Americas,78.553,13171.63885
China,1318683096.0,Asia,72.961,4959.1148539999995
Colombia,44227550.0,Americas,72.889,7006.580419
Comoros,710960.0,Africa,65.152,986.1478792000001
"Congo, Dem. Rep.",64606759.0,Africa,46.461999999999996,277.55185869999997
"Congo, Rep.",3800610.0,Africa,55.321999999999996,3632.557798
Costa Rica,4133884.0,Americas,78.782,9645.06142
Cote d'Ivoire,18013409.0,Africa,48.328,1544.750112
Croatia,4493312.0,Europe,75.748,14619.222719999998
Cuba,11416987.0,Americas,78.273,8948.102923
Czech Republic,10228744.0,Europe,76.486,22833.30851
Denmark,5468120.0,Europe,78.332,35278.41874
Djibouti,496374.0,Africa,54.791000000000004,2082.4815670000003
Dominican Republic,9319622.0,Americas,72.235,6025.374752000001
Ecuador,13755680.0,Americas,74.994,6873.262326000001
Egypt,80264543.0,Africa,71.33800000000001,5581.180998
El Salvador,6939688.0,Americas,71.878,5728.353514
Equatorial Guinea,551201.0,Africa,51.57899999999999,12154.08975
Eritrea,4906585.0,Africa,58.04,641.3695236000001
Ethiopia,76511887.0,Africa,52.946999999999996,690.8055759
Finland,5238460.0,Europe,79.313,33207.0844
France,61083916.0,Europe,80.657,30470.0167
Gabon,1454867.0,Africa,56.735,13206.48452
Gambia,1688359.0,Africa,59.448,752.7497265
Germany,82400996.0,Europe,79.406,32170.37442
Ghana,22873338.0,Africa,60.022,1327.60891
Greece,10706290.0,Europe,79.483,27538.41188
Guatemala,12572928.0,Americas,70.259,5186.050003
Guinea,9947814.0,Africa,56.007,942.6542111
Guinea-Bissau,1472041.0,Africa,46.388000000000005,579.2317429999999
Haiti,8502814.0,Americas,60.916000000000004,1201.637154
Honduras,7483763.0,Americas,70.19800000000001,3548.3308460000003
"Hong Kong, China",6980412.0,Asia,82.208,39724.97867
Hungary,9956108.0,Europe,73.33800000000001,18008.94444
Iceland,301931.0,Europe,81.757,36180.789189999996
India,1110396331.0,Asia,64.69800000000001,2452.210407
Indonesia,223547000.0,Asia,70.65,3540.6515640000002
Iran,69453570.0,Asia,70.964,11605.71449
Iraq,27499638.0,Asia,59.545,4471.061906
Ireland,4109086.0,Europe,78.885,40675.99635
Israel,6426679.0,Asia,80.745,25523.2771
Italy,58147733.0,Europe,80.546,28569.7197
Jamaica,2780132.0,Americas,72.567,7320.880262000001
Japan,127467972.0,Asia,82.603,31656.06806
Jordan,6053193.0,Asia,72.535,4519.461171
Kenya,35610177.0,Africa,54.11,1463.249282
"Korea, Dem. Rep.",23301725.0,Asia,67.297,1593.06548
"Korea, Rep.",49044790.0,Asia,78.623,23348.139730000003
Kuwait,2505559.0,Asia,77.58800000000001,47306.98978
Lebanon,3921278.0,Asia,71.993,10461.05868
Lesotho,2012649.0,Africa,42.592,1569.331442
Liberia,3193942.0,Africa,45.678000000000004,414.5073415
Libya,6036914.0,Africa,73.952,12057.49928
Madagascar,19167654.0,Africa,59.443000000000005,1044.770126
Malawi,13327079.0,Africa,48.303000000000004,759.3499101
Malaysia,24821286.0,Asia,74.241,12451.6558
Mali,12031795.0,Africa,54.467,1042.581557
Mauritania,3270065.0,Africa,64.164,1803.1514960000002
Mauritius,1250882.0,Africa,72.801,10956.99112
Mexico,108700891.0,Americas,76.195,11977.57496
Mongolia,2874127.0,Asia,66.803,3095.7722710000003
Montenegro,684736.0,Europe,74.543,9253.896111
Morocco,33757175.0,Africa,71.164,3820.17523
Mozambique,19951656.0,Africa,42.082,823.6856205
Myanmar,47761980.0,Asia,62.068999999999996,944.0
Namibia,2055080.0,Africa,52.906000000000006,4811.060429
Nepal,28901790.0,Asia,63.785,1091.359778
Netherlands,16570613.0,Europe,79.762,36797.93332
New Zealand,4115771.0,Oceania,80.204,25185.00911
Nicaragua,5675356.0,Americas,72.899,2749.320965
